RANK,FILE,SCORE,TIME,MOVES
5,6,-3,868.6793120000009,49
1,5,15,868.6608750000009,49
7,3,-25,868.639747000001,49
1,2,20,868.6205520000009,49
2,4,-5,868.6020430000009,49
3,5,3,868.5721250000008,49
7,7,-10,868.5535780000009,49
7,0,-10,868.5348730000009,49
5,6,-3,868.5161780000009,49
4,2,-3,868.497813000001,49
5,7,-2,868.467320000001,49
5,4,-3,868.4485920000009,49
7,5,-25,868.4301160000009,49
6,2,-9,868.4111930000009,49
2,1,3,868.391859000001,49
5,1,-3,868.3605280000011,49
4,0,0,868.341516000001,49
0,5,12,868.322963000001,49
3,1,1,868.3043840000009,49
1,4,26,868.2858080000009,49
0,5,12,868.2555020000009,49
2,0,2,868.2364880000009,49
6,5,-25,868.2179540000009,49
0,6,-2,868.188023000001,49
3,0,0,868.169291000001,49
3,2,1,868.150603000001,49
2,0,2,868.131979000001,49
6,1,-14,868.1115660000011,49
3,2,1,868.081268000001,49
7,0,-10,868.0621940000011,49
6,7,-10,868.0435240000011,49
6,1,-14,868.0249220000011,49
7,3,-25,868.006107000001,49
6,3,-25,867.9753850000011,49
6,4,-22,867.956778000001,49
5,3,-3,867.9382480000011,49
5,5,-3,867.919715000001,49
3,5,3,867.900841000001,49
2,0,2,867.870441000001,49
6,3,-25,867.8451270000011,49
4,6,0,867.8257210000011,49
6,6,-11,867.8068850000011,49
0,6,-2,867.7882290000011,49
2,0,2,867.757207000001,49
4,4,-3,867.7385230000011,49
7,4,-22,867.7196760000011,49
4,4,-3,867.6872040000011,49
6,5,-25,867.6685030000011,49
7,5,-25,867.6493210000011,49
4,4,-3,867.6305150000012,49
3,6,3,867.6116810000011,49
3,0,0,867.5798560000012,49
6,7,-10,867.5606440000013,49
7,6,-11,867.5410150000012,49
4,1,0,867.5222900000012,49
4,7,0,867.5033910000012,49
4,3,-3,867.4726170000013,49
0,5,12,867.4538740000013,49
2,7,2,867.4350780000013,49
3,6,3,867.4163090000013,49
3,0,0,867.3971840000013,49
4,1,0,867.3665200000013,49
1,5,15,867.3478660000013,49
7,4,-22,867.3285960000013,49
6,2,-9,867.3093310000013,49
4,7,0,867.2898690000012,49
7,2,-9,867.2591600000013,49
4,6,0,867.2401040000012,49
6,3,-25,867.2213900000013,49
0,5,12,867.1904240000013,49
2,1,3,867.1688220000012,49
2,6,-4,867.1500200000013,49
3,5,3,867.1310720000013,49
0,5,12,867.1118220000012,49
4,3,-3,867.0809220000012,49
2,4,-5,867.0619290000012,49
4,6,0,867.0409110000012,49
4,4,-3,867.0218010000012,49
3,6,3,867.0029420000012,49
3,3,1,866.9721030000013,49
6,7,-10,866.9528420000013,49
7,0,-10,866.9338080000012,49
1,4,26,866.9151670000012,49
0,6,-2,866.8955610000012,49
5,1,-3,866.8647990000013,49
3,1,1,866.8457070000012,49
4,0,0,866.8268110000013,49
2,7,2,866.8074570000012,49
6,0,-10,866.7869450000012,49
5,0,-2,866.7673420000011,49
6,6,-11,866.7480650000011,49
2,6,-4,866.728921000001,49
4,0,0,866.6979840000012,49
5,6,-3,866.6786910000012,49
1,3,36,866.6596050000012,49
6,4,-22,866.6403830000012,49
6,6,-11,866.6210930000011,49
5,7,-2,866.590004000001,49
4,5,0,866.5707120000011,49
2,4,-5,866.5514710000011,49
1,5,15,866.530483000001,49
7,0,-10,866.510506000001,49
7,1,-14,866.4795730000011,49
7,1,-14,866.459739000001,49
0,6,-2,866.4403670000011,49
4,5,0,866.421224000001,49
1,4,26,866.402242000001,49
2,1,3,866.370580000001,49
4,2,-3,866.3512870000011,49
1,2,20,866.3321630000012,49
4,3,-3,866.3129740000012,49
6,7,-10,866.2938990000011,49
3,0,0,866.2608150000011,49
5,5,-3,866.2403950000011,49
7,0,-10,866.2212770000011,49
6,0,-10,866.2019840000011,49
7,1,-14,866.182591000001,49
3,3,1,866.151348000001,49
4,3,-3,866.131990000001,49
5,4,-3,866.112492000001,49
6,7,-10,866.0935260000009,49
5,1,-3,866.0743030000009,49
6,3,-25,866.043151000001,49
5,6,-3,866.023701000001,49
7,2,-9,866.003528000001,49
6,6,-11,865.983637000001,49
5,3,-3,865.964392000001,49
2,1,3,865.932754000001,49
4,2,-3,865.9132900000009,49
7,5,-25,865.8938820000009,49
2,6,-4,865.8746000000009,49
6,6,-11,865.855067000001,49
4,5,0,865.823915000001,49
6,2,-9,865.804694000001,49
7,6,-11,865.773204000001,49
7,0,-10,865.753713000001,49
7,5,-25,865.7323360000009,49
6,5,-25,865.7128720000011,49
4,7,0,865.693432000001,49
6,4,-22,865.6617710000011,49
3,3,1,865.642307000001,49
4,6,0,865.6227280000011,49
5,0,-2,865.6029490000011,49
6,7,-10,865.5835700000011,49
4,1,0,865.5638750000011,49
6,2,-9,865.5442650000011,49
3,3,1,865.5126050000011,49
6,1,-14,865.4929010000011,49
6,2,-9,865.4715550000011,49
5,1,-3,865.4516060000011,49
7,5,-25,865.4319910000012,49
6,6,-11,865.4000320000013,49
2,0,2,865.3797480000012,49
6,4,-22,865.3476180000013,49
5,6,-3,865.3279980000011,49
5,1,-3,865.2946170000012,49
4,1,0,865.2750930000012,49
4,7,0,865.2557920000013,49
6,3,-25,865.2237040000012,49
4,0,0,865.2027200000014,49
5,3,-3,865.1823350000013,49
3,6,3,865.1626100000013,49
2,4,-5,865.1430180000015,49
3,2,1,865.1231550000014,49
1,2,20,865.1033400000014,49
7,6,-11,865.0717410000015,49
5,5,-3,865.0517880000015,49
6,4,-22,865.0317620000015,49
4,4,-3,865.0120700000015,49
2,0,2,864.9922330000015,49
6,1,-14,864.9605090000015,49
4,7,0,864.9387850000014,49
5,4,-3,864.9064210000015,49
3,7,0,864.8867450000015,49
7,6,-11,864.8667060000015,49
7,3,-25,864.8470300000015,49
2,7,2,864.8274520000015,49
7,3,-25,864.7951330000014,49
1,2,20,864.7753370000014,49
2,4,-5,864.7556080000014,49
7,2,-9,864.7358080000014,49
7,5,-25,864.7163280000015,49
5,7,-2,864.6953200000014,49
5,3,-3,864.6751130000015,49
2,4,-5,864.6429430000014,49
2,0,2,864.6230320000014,49
3,3,1,864.6030960000014,49
6,1,-14,864.5830680000014,49
6,0,-10,864.5630200000014,49
5,5,-3,864.5310800000013,49
7,1,-14,864.5113430000014,49
6,2,-9,864.4783000000014,49
2,7,2,864.4584560000013,49
1,2,20,864.4387850000014,49
5,6,-3,864.4172020000013,49
4,1,0,864.3968690000013,49
2,7,2,864.3638820000014,49
4,7,0,864.3438470000013,49
4,6,0,864.3234900000012,49
5,1,-3,864.3034840000013,49
5,3,-3,864.2838380000012,49
1,2,20,864.2637950000012,49
3,3,1,864.2437600000012,49
2,6,-4,864.2118080000012,49
1,3,36,864.1917240000012,49
3,0,0,864.1716440000012,49
6,1,-14,864.1516260000012,49
3,2,1,864.1317080000013,49
5,3,-3,864.0998450000012,49
4,3,-3,864.0795490000012,49
2,4,-5,864.0466510000011,49
4,7,0,864.0265670000013,49
4,4,-3,864.0064020000012,49
5,5,-3,863.9865380000012,49
3,7,0,863.9663970000012,49
2,0,2,863.9337950000012,49
2,6,-4,863.9138570000013,49
2,1,3,863.8923400000012,49
3,1,1,863.8721030000013,49
4,3,-3,863.8522390000012,49
5,0,-2,863.8319030000013,49
7,5,-25,863.8113960000012,49
2,6,-4,863.7793660000013,49
7,4,-22,863.7591600000013,49
7,6,-11,863.7391390000013,49
5,7,-2,863.7188310000013,49
5,7,-2,863.6985100000013,49
3,0,0,863.6661120000014,49
5,0,-2,863.6455820000012,49
5,6,-3,863.6112830000013,49
5,6,-3,863.5910470000013,49
6,1,-14,863.5708710000014,49
1,5,15,863.5508430000014,49
1,4,26,863.5309500000013,49
3,3,1,863.4979040000013,49
4,0,0,863.4776480000014,49
6,2,-9,863.4574180000013,49
4,4,-3,863.4370430000013,49
7,6,-11,863.4165120000014,49
4,2,-3,863.3962970000014,49
4,4,-3,863.3735950000014,49
5,5,-3,863.3411150000013,49
6,2,-9,863.3208960000012,49
3,3,1,863.3001100000012,49
5,3,-3,863.2797600000013,49
4,3,-3,863.2596640000012,49
3,6,3,863.2272930000013,49
4,6,0,863.2071100000012,49
4,5,0,863.1740720000012,49
6,2,-9,863.1535660000012,49
5,1,-3,863.1327570000012,49
6,1,-14,863.1105450000013,49
6,3,-25,863.0899750000011,49
1,5,15,863.0567120000011,49
3,5,3,863.0365680000011,49
3,2,1,863.0164090000011,49
1,2,20,862.9963350000011,49
3,5,3,862.9759310000011,49
7,6,-11,862.9556640000011,49
2,6,-4,862.9349500000011,49
5,6,-3,862.9020820000011,49
6,4,-22,862.8815640000012,49
6,6,-11,862.8605730000012,49
2,6,-4,862.8400190000011,49
6,0,-10,862.8195530000011,49
4,5,0,862.7873030000011,49
3,6,3,862.766831000001,49
3,2,1,862.7336860000011,49
3,2,1,862.7134880000011,49
5,3,-3,862.6930900000011,49
6,0,-10,862.6724840000011,49
5,5,-3,862.652015000001,49
5,3,-3,862.6187410000011,49
2,7,2,862.5982230000011,49
4,1,0,862.5765570000011,49
5,7,-2,862.5558040000011,49
4,3,-3,862.5354590000012,49
4,6,0,862.5147700000011,49
6,6,-11,862.4940860000011,49
6,1,-14,862.4608210000011,49
7,4,-22,862.4387600000011,49
5,2,-3,862.4179550000011,49
5,2,-3,862.3973920000012,49
2,7,2,862.3768830000012,49
2,1,3,862.3440620000013,49
3,1,1,862.3222960000012,49
0,6,-2,862.2887970000013,49
4,4,-3,862.2682550000013,49
5,6,-3,862.2472340000013,49
1,2,20,862.2264650000012,49
6,5,-25,862.2058890000013,49
2,1,3,862.1730310000013,49
1,4,26,862.1527330000013,49
3,0,0,862.1191080000012,49
4,7,0,862.0986840000012,49
6,4,-22,862.0779050000012,49
4,4,-3,862.0558950000012,49
5,3,-3,862.0347250000012,49
7,4,-22,862.0140400000013,49
2,1,3,861.9932190000012,49
2,4,-5,861.9596640000012,49
5,6,-3,861.9386470000012,49
5,7,-2,861.9051210000013,49
3,1,1,861.8842970000013,49
7,7,-10,861.8639760000013,49
6,5,-25,861.8431830000013,49
6,4,-22,861.8226210000013,49
2,7,2,861.7860490000013,49
4,4,-3,861.7648120000013,49
6,6,-11,861.7316050000012,49
5,1,-3,861.7103860000012,49
7,0,-10,861.6767830000013,49
7,1,-14,861.6556460000012,49
5,0,-2,861.6344650000011,49
6,0,-10,861.6046780000012,49
5,0,-2,861.5811770000012,49
1,5,15,861.5604390000012,49
3,0,0,861.5390720000012,49
3,5,3,861.5048490000012,49
6,4,-22,861.4842150000011,49
4,2,-3,861.4510880000012,49
1,2,20,861.4299510000011,49
4,5,0,861.409314000001,49
4,0,0,861.3886660000011,49
1,3,36,861.3678650000011,49
7,1,-14,861.346736000001,49
6,0,-10,861.325771000001,49
3,0,0,861.3047730000011,49
4,6,0,861.282611000001,49
7,5,-25,861.2454350000011,49
